Time,Speed,SOC,Temperature,Torque,Throttle
21:00:39,0,100,30,0,0
21:00:39,0,100,30,0,0
21:00:40,0,100,30,0,0
21:00:40,0,100,30,0,0
21:00:41,0,100,30,0,0
21:00:41,0,100,30,0,0
21:00:42,0,100,30,0,0
21:00:42,0,100,30,0,0
21:00:43,0,100,30,0,0
21:00:43,0,100,30,0,0
21:00:44,0,100,30,0,0
21:00:45,0,100,30,0,0
21:00:45,0,100,30,0,0
21:00:46,0,100,30,0,0
21:00:46,0,100,30,0,0
21:00:47,0,100,30,0,0
21:00:47,0,100,30,0,0
21:00:48,0,100,30,0,0
21:00:48,0,100,30,0,0
21:00:49,0,100,30,0,0
21:00:49,0,100,30,0,0
21:00:50,0,100,30,0,0
21:00:50,0,100,30,0,0
21:00:51,0,100,30,0,0
21:00:51,0,100,30,0,0
21:00:52,0,100,30,0,0
21:00:52,0,100,30,0,0
21:00:53,0,100,30,0,0
21:00:53,0,100,30,0,0
21:00:54,0,100,30,0,0
21:00:54,0,100,30,0,0
21:00:55,0,100,30,0,0
21:00:55,0,100,30,0,0
21:00:56,0,100,30,0,0
21:00:56,0,100,30,0,0
21:00:57,0,100,30,0,0
21:00:57,0,100,30,0,0
21:00:58,0,100,30,0,0
21:00:58,0,100,30,0,0
21:00:59,0,100,30,0,0
21:00:59,0,100,30,0,0
21:01:00,0,100,30,0,0
21:01:00,0,100,30,0,0
21:01:01,0,100,30,0,0
21:01:01,0,100,30,0,0
21:01:02,0,100,30,0,0
21:01:03,0,100,30,0,0
21:01:03,0,99,30,4,2
21:01:04,0,99,30,33,16
21:01:04,0,99,30,33,16
21:01:05,1,99,30,33,16
21:01:05,1,99,30,33,16
21:01:06,1,99,30,33,16
21:01:06,2,99,30,33,16
21:01:07,2,99,30,33,16
21:01:07,2,99,30,33,16
21:01:08,3,99,30,44,22
21:01:08,3,99,30,48,24
21:01:09,4,99,30,53,26
21:01:09,4,99,30,58,29
21:01:10,5,99,30,61,30
21:01:10,6,99,30,68,34
21:01:11,6,99,30,69,34
21:01:11,7,99,30,72,36
21:01:12,8,99,30,75,37
21:01:12,9,99,30,77,38
21:01:13,9,99,30,79,39
21:01:13,10,99,31,93,46
21:01:14,11,99,31,93,46
21:01:14,12,99,31,90,45
21:01:15,13,99,31,83,41
21:01:15,14,99,31,83,41
21:01:16,16,99,31,200,100
21:01:16,18,99,31,200,100
21:01:17,20,99,32,200,100
21:01:17,22,99,32,200,100
21:01:18,24,99,32,200,100
21:01:18,26,99,32,200,100
21:01:19,28,99,32,200,100
21:01:19,30,99,33,200,100
21:01:20,32,99,33,200,100
21:01:20,34,99,33,200,100
21:01:21,36,99,33,200,100
21:01:22,38,99,33,200,100
21:01:22,40,98,34,200,100
21:01:23,42,98,34,200,100
21:01:23,44,98,34,200,100
21:01:24,46,98,34,200,100
21:01:24,48,98,34,200,100
21:01:25,50,98,35,200,100
21:01:25,52,98,35,200,100
21:01:26,54,98,35,200,100
21:01:26,56,98,35,200,100
21:01:27,58,98,35,200,100
21:01:27,60,98,36,200,100
21:01:28,62,98,36,200,100
21:01:28,64,98,36,200,100
21:01:29,66,98,36,200,100
21:01:29,68,98,36,200,100
21:01:30,70,98,37,200,100
21:01:30,72,98,37,200,100
21:01:31,74,98,37,200,100
21:01:31,76,98,37,200,100
21:01:32,78,98,37,200,100
21:01:32,80,97,38,200,100
21:01:33,82,97,38,200,100
21:01:33,84,97,38,200,100
21:01:34,86,97,38,200,100
21:01:35,88,97,38,200,100
21:01:35,90,97,39,200,100
21:01:36,92,97,39,200,100
21:01:36,94,97,39,200,100
21:01:37,96,97,39,200,100
21:01:37,98,97,39,200,100
21:01:38,100,97,40,200,100
21:01:38,102,97,40,200,100
21:01:39,104,97,40,200,100
21:01:39,106,97,40,200,100
21:01:40,108,97,40,200,100
21:01:40,110,97,41,200,100
21:01:41,112,97,41,200,100
21:01:41,114,97,41,200,100
21:01:42,116,97,41,200,100
21:01:42,118,97,41,200,100
21:01:43,120,96,42,200,100
21:01:43,120,96,42,200,100
21:01:44,120,96,42,200,100
21:01:44,120,96,42,200,100
21:01:45,120,96,42,200,100
21:01:45,120,96,43,200,100
21:01:46,120,96,43,200,100
21:01:46,120,96,43,200,100
21:01:47,120,96,43,200,100
21:01:47,120,96,43,200,100
21:01:48,120,96,44,200,100
21:01:48,120,96,44,200,100
21:01:49,120,96,44,200,100
21:01:49,120,96,44,200,100
